fips	lat	lon	Am_Ind	Asian	Black_Hisp	White_Hisp	Black_non_Hisp	White_non_Hisp	Tot Active M.D.s Non-Fed & Fed	3-Yr Homicides&Legal Interventn	Births	Poor mental health days Value	Adult smoking Value	Adult obesity Value	Food environment index Value	Physical inactivity Value	Excessive drinking Value	Uninsured Value	Some college Value	Unemployment Value	Income inequality Value	Severe housing problems Value	Population living in a rural area Value	Food insecurity Value	Health care costs Value	Median household income Value	density	Female life expectancy, 2010 (years)
21027	37.778109	-86.432829	0.00198247078464	0.000939065108514	0.000730383973289	0.00678213689482	0.0277024207012	0.953620617696	0.000365191986644	0.0	0.0142946577629	4.1	0.222	0.373	7.4	0.385	0.114	0.203	0.423	0.071	4.248	0.128	1.0	0.15	11702.0	41547.0	35.4	78.6
21025	37.521178	-83.322401	0.000439229466022	0.00414130639393	0.000188241199724	0.00646294785719	0.00401581226078	0.982430821359	0.00150592959779	0.0	0.0117337014495	4.8	0.291	0.429	6.3	0.332	0.104	0.18	0.42	0.116	5.239	0.161	0.815	0.203	11668.0	28647.0	28.2	75.3
21029	37.969572	-85.703036	0.00295596068722	0.00309100457649	0.000120039012679	0.00828269187486	0.00646710180809	0.971460724736	0.000435141420962	3.00097531698e-05	0.0102033160777	3.8	0.201	0.326	7.7	0.332	0.141	0.137	0.561	0.059	3.701	0.11	0.304	0.123	11222.0	54924.0	250.2	80.2
22057	29.491992	-90.394849	0.0258146424037	0.00723764879499	0.000716169146131	0.0153650834988	0.130440444025	0.811528153043	0.00148659353061	4.34041906746e-05	0.0134444480615	3.9	0.204	0.363	7.7	0.341	0.191	0.2	0.432	0.048	5.006	0.136	0.242	0.109	10237.0	47382.0	90.2	79.7
25019	41.305878	-70.14191	0.0	0.00938364282892	0.00316080600553	0.0344725404978	0.0885025681549	0.862307388384	0.000790201501383	0.0	0.0130383247728	3.6	0.145	0.207	8.9	0.178	0.222	0.065	0.721	0.062	3.46	0.259	0.189	0.092	6997.0	82596.0	226.2	83.1
22055	30.206507	-92.06417	0.00313223338971	0.0124522883699	0.00124676174077	0.0185685744506	0.247921637959	0.709049752947	0.00351034965535	5.62064719198e-05	0.0157327024583	3.8	0.228	0.288	7.1	0.255	0.195	0.185	0.638	0.049	5.491	0.151	0.083	0.138	10461.0	51340.0	824.6	79.3
22053	30.269529	-92.816221	0.00412998239155	0.00246518328798	0.000800384184409	0.00928445653914	0.172434768689	0.805538658556	0.000736353449656	3.20153673763e-05	0.0162317912598	4.1	0.219	0.36	7.8	0.343	0.179	0.198	0.451	0.059	6.246	0.126	0.507	0.136	11872.0	37968.0	48.5	78.4
22051	29.5033	-90.036231	0.00473114486651	0.0338389294297	0.00230163804317	0.0740492515267	0.25833461937	0.614956238012	0.00399920633171	0.000121254877753	0.0144183072819	3.7	0.191	0.323	7.7	0.311	0.189	0.213	0.578	0.06	4.988	0.183	0.011	0.137	10239.0	47024.0	1463.1	79.7
25013	42.136198	-72.635648	0.00342756428578	0.0155333835667	0.0172179350603	0.144109266332	0.0771147833468	0.72526220975	0.00271303730264	4.11394323624e-05	0.0124565870727	4.5	0.183	0.285	7.9	0.261	0.182	0.05	0.592	0.078	5.739	0.194	0.086	0.121	8537.0	49072.0	751.0	81.0
25011	42.583791	-72.591655	0.00312867723403	0.0124454904132	0.00128746452551	0.0202810272029	0.00981518654392	0.941358067419	0.00159202602616	1.38437045753e-05	0.0089291894511	4.0	0.154	0.216	8.1	0.178	0.197	0.042	0.671	0.053	4.462	0.16	0.544	0.111	7253.0	53953.0	102.1	82.5
25017	42.479477	-71.396507	0.00173218045811	0.0795430648602	0.00314346031893	0.0449813877654	0.0376955786725	0.820564675808	0.00532763268216	1.84347151632e-05	0.0121484772925	3.4	0.122	0.226	8.7	0.213	0.203	0.04	0.786	0.046	5.039	0.176	0.03	0.094	9211.0	84026.0	1837.9	83.2
25015	42.339459	-72.663694	0.00199487959245	0.0375063355297	0.00310603402342	0.031710138147	0.0202606989226	0.892140044446	0.0036713582076	6.49797912849e-06	0.00785605676635	3.9	0.145	0.213	8.1	0.161	0.235	0.041	0.779	0.05	4.929	0.167	0.274	0.108	8178.0	57737.0	299.8	82.4
22059	31.680836	-92.161809	0.00692041522491	0.00211849445661	0.000776781300756	0.0075559635619	0.121389732364	0.857919638444	0.000847397782642	7.06164818869e-05	0.0115811030294	4.0	0.226	0.386	8.4	0.293	0.189	0.179	0.411	0.051	5.627	0.08	0.732	0.11	12970.0	44139.0	23.8	77.6
06077	37.935034	-121.272237	0.0129303181569	0.134607335644	0.00565653332677	0.311997205586	0.0718253553029	0.424135362874	0.00147106797073	8.30937975096e-05	0.0175435626927	3.8	0.139	0.294	7.2	0.186	0.166	0.192	0.511	0.106	4.821	0.282	0.085	0.163	8032.0	51527.0	492.6	80.5
06075	37.727239	-123.032229	0.00506563831074	0.330397860876	0.00483183961947	0.126951345686	0.0712158875616	0.43462907972	0.00793571879661	7.92765677277e-05	0.011668435833	3.1	0.115	0.148	7.3	0.138	0.197	0.124	0.85	0.044	6.903	0.273	0.0	0.167	7598.0	83788.0	17179.2	84.4
06073	33.023604	-116.776117	0.00961144231668	0.0997757625744	0.00561957953607	0.270601088646	0.0511915555201	0.528888561435	0.0030770395748	4.09316870609e-05	0.016154031396	3.6	0.118	0.202	7.8	0.148	0.2	0.179	0.685	0.064	4.868	0.266	0.033	0.139	8881.0	66034.0	735.8	82.9
06071	34.85722	-116.181197	0.0141567649473	0.0543497554305	0.00724781391795	0.409279221459	0.088506718178	0.397914561787	0.00170888919079	8.17226935592e-05	0.0172695146765	3.8	0.141	0.287	7.5	0.186	0.175	0.204	0.532	0.081	4.672	0.288	0.047	0.132	9881.0	51951.0	101.5	80.4
06079	35.385227	-120.44754	0.0104962956561	0.0297722398121	0.00189341860264	0.163207183992	0.019417361313	0.752590683752	0.00278906059725	2.3569526174e-05	0.0105591477259	3.6	0.124	0.218	7.6	0.151	0.201	0.158	0.676	0.056	4.634	0.246	0.166	0.144	7164.0	61775.0	81.7	82.4
51650	37.04803	-76.297149	0.00393282677063	0.0201985597906	0.00765325348918	0.0219731279676	0.460209248309	0.464039300861	0.00139087776034	9.59226041617e-05	0.0132989839056	3.4	0.202	0.321	6.8	0.253	0.145	0.143	0.685	0.067	4.388	0.232	0.002	0.169	8996.0	47615.0	2673.2	79.7
26003	47.080077	-86.564108	0.0368852459016	0.00420081967213	0.000922131147541	0.00696721311475	0.0628073770492	0.870901639344	0.000819672131148	0.0	0.0078893442623	3.7	0.171	0.323	6.5	0.237	0.19	0.16	0.435	0.103	3.8	0.139	0.69	0.153	8601.0	45308.0	10.5	80.9
56007	41.70359	-106.933153	0.0144718747954	0.0104773754175	0.000392901578155	0.130050422369	0.00870931831576	0.830659419815	0.000851286752668	6.54835963591e-05	0.01276930129	3.2	0.182	0.265	7.1	0.284	0.191	0.185	0.549	0.042	3.922	0.098	0.416	0.114	7162.0	58225.0	2.0	79.8
05079	33.957665	-91.727624	0.00410634743875	0.000765590200445	0.00104398663697	0.0157989977728	0.334284521158	0.640103006682	0.0	0.000139198218263	0.0107182628062	4.4	0.257	0.357	4.0	0.373	0.151	0.192	0.302	0.073	6.144	0.156	1.0	0.23	9724.0	37644.0	25.2	78.0
56005	44.241321	-105.552029	0.0104844639307	0.00386699708614	0.000680809346151	0.0383431823752	0.00147054818769	0.933553007816	0.00155224530922	5.44647476921e-05	0.0170746984015	3.0	0.194	0.336	8.5	0.254	0.204	0.129	0.592	0.035	3.219	0.094	0.291	0.104	8100.0	79358.0	9.6	78.8
56003	44.525654	-107.99332	0.00875963559916	0.00324106517169	0.000437981779958	0.0632445690259	0.000963559915907	0.91608269096	0.000788367203924	0.0	0.0149789768746	3.2	0.161	0.278	7.7	0.23	0.158	0.199	0.583	0.047	3.989	0.085	1.0	0.123	7846.0	50437.0	3.7	79.3
56001	41.665514	-105.721883	0.0100403520478	0.0176023893496	0.00181107616052	0.067200457535	0.0115654688145	0.875766530042	0.00222412861818	3.1773265974e-05	0.0119149747403	3.7	0.19	0.211	6.0	0.169	0.207	0.163	0.861	0.036	6.503	0.234	0.119	0.171	7393.0	42838.0	8.5	81.7
