X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
x36025	-0.301215589360645	-0.29032485601535	-0.289776680453022	-0.288602955298684	-0.307350980833982	-0.279646089763404	-0.303717119081782	-0.308082681520681	-0.298087665454704	-0.302169793450748
x51065	-0.514864110943305	-0.515288435697602	-0.522328084385354	-0.522611157900705	-0.513806447540343	-0.518471251716064	-0.518002956494768	-0.535044845523529	-0.522279453504158	-0.513363854392747
x48149	-0.124597360246042	-0.113367723985	-0.133427467118865	-0.111569424955091	-0.121036739659619	-0.140718328190924	-0.117869020595706	-0.112416543307844	-0.139241525087617	-0.131126286203428
x48419	-0.146883057454414	-0.158832149914641	-0.133038972598044	-0.134696990276313	-0.145940982500905	-0.171301186834352	-0.176969402379542	-0.173396597518014	-0.170472494495018	-0.154282640839296
x48145	-0.661261343493737	-0.65150983427365	-0.64854569106609	-0.655446094156398	-0.661277532898675	-0.661953798524455	-0.662277243755102	-0.659010288558347	-0.658624549272308	-0.658842764293779
x48415	-0.0482246536458758	-0.0603214017114573	-0.0593133078004614	-0.0498668075249178	-0.05524573307192	-0.0620664974033386	-0.0634396903855543	-0.0542173428580065	-0.0514217853158236	-0.0548441449546322
x48141	0.336544552932017	0.330913673663782	0.327265519567104	0.321070689961543	0.32675634866947	0.324467868000118	0.333022093791464	0.33975023007108	0.338302092886119	0.334144249211092
x48143	0.0908331420355704	0.0801153139002216	0.0714267298585205	0.0829539133688511	0.0761832572254699	0.0711356863947892	0.0611780004205291	0.070586795020091	0.0680601741338413	0.0824428240789848
x01111	-0.420295543420342	-0.401646646938147	-0.406013099833284	-0.403711153914435	-0.409148329616758	-0.398240095488602	-0.410993396873321	-0.430169310813788	-0.415750906764223	-0.411056593467888
x01113	-0.222538008540088	-0.22676115426246	-0.224210507082217	-0.202891885099564	-0.212264488217344	-0.234781439491605	-0.2250940644021	-0.223575228447729	-0.214034324773227	-0.217399466584132
x01115	-0.134239332074436	-0.140518158454289	-0.133400954151545	-0.123534509904885	-0.134354203378277	-0.135225709671285	-0.139570972233343	-0.139206433069035	-0.137004062538437	-0.134024645698207
x01117	0.276407755745354	0.26971647598049	0.269061525625653	0.279196895743907	0.281248380102499	0.284208910400233	0.270470201611427	0.263538690988937	0.269169390135848	0.277937005622775
